"Freq [GHz]","AbsorbanceTM []"
30,0.00199894533205769
30.01,0.00200283018402903
30.02,0.0020067215126639
30.03,0.00201061939223635
30.04,0.00201452389661261
30.05,0.00201843509918864
30.06,0.00202235307298371
30.07,0.00202627789053667
30.08,0.00203020962398626
30.09,0.00203414834504656
30.1,0.00203809412500355
30.11,0.00204204703473798
30.12,0.00204600714468806
30.13,0.00204997452488964
30.14,0.00205394924498403
30.15,0.00205793137417321
30.16,0.002061920981274
30.17,0.00206591813468149
30.18,0.00206992290240304
30.19,0.00207393535202027
30.2,0.00207795555073931
30.21,0.0020819835653747
30.22,0.00208601946232612
30.23,0.00209006330762795
30.24,0.0020941151668834
30.25,0.00209817510535881
30.26,0.00210224318790431
30.27,0.00210631947899353
30.28,0.00211040404274898
30.29,0.0021144969428788
30.3,0.00211859824273164
30.31,0.00212270800528991
30.32,0.00212682629317495
30.33,0.00213095316860645
30.34,0.002135088693484
30.35,0.00213923292931828
30.36,0.00214338593728125
30.37,0.00214754777817527
30.38,0.00215171851243534
30.39,0.00215589820018214
30.4,0.00216008690116609
30.41,0.00216428467479624
30.42,0.00216849158012589
30.43,0.00217270767588973
30.44,0.00217693302047051
30.45,0.0021811676719331
30.46,0.00218541168798192
30.47,0.00218966512602636
30.48,0.00219392804311358
30.49,0.00219820049600228
30.5,0.00220248254110067
30.51,0.00220677423451521
30.52,0.00221107563203216
30.53,0.00221538678911981
30.54,0.00221970776094194
30.55,0.00222403860234621
30.56,0.00222837936790687
30.57,0.00223273011183922
30.58,0.00223709088811763
30.59,0.00224146175039031
30.6,0.00224584275201034
30.61,0.00225023394603663
30.62,0.00225463538526993
30.63,0.00225904712219438
30.64,0.00226346920901854
30.65,0.00226790169768709
30.66,0.00227234463984671
30.67,0.00227679808689074
30.68,0.00228126208991797
30.69,0.00228573669976928
30.7,0.00229022196703754
30.71,0.00229471794203306
30.72,0.00229922467480437
30.73,0.00230374221516483
30.74,0.00230827061264849
30.75,0.00231280991655158
30.76,0.00231736017591788
30.77,0.00232192143955967
30.78,0.00232649375602767
30.79,0.00233107717363845
30.8,0.00233567174048521
30.81,0.00234027750440535
30.82,0.00234489451303166
30.83,0.00234952281374068
30.84,0.00235416245371034
30.85,0.00235881347988298
30.86,0.0023634759389729
30.87,0.00236814987750789
30.88,0.00237283534177113
30.89,0.00237753237785476
30.9,0.00238224103162554
30.91,0.00238696134878247
30.92,0.00239169337477607
30.93,0.00239643715488136
30.94,0.00240119273418771
30.95,0.00240596015758732
30.96,0.00241073946976367
30.97,0.00241553071522715
30.98,0.00242033393830154
30.99,0.00242514918315528
31,0.00242997649372423
31.01,0.00243481591382155
31.02,0.00243966748707347
31.03,0.00244453125690913
31.04,0.00244940726664022
31.05,0.00245429555937104
31.06,0.00245919617807344
31.07,0.00246410916554263
31.08,0.00246903456444181
31.09,0.00247397241727787
31.1,0.00247892276637962
31.11,0.00248388565397362
31.12,0.00248886112211932
31.13,0.00249384921274198
31.14,0.00249884996762495
31.15,0.00250386342842435
31.16,0.0025088896366714
31.17,0.00251392863375488
31.18,0.00251898046095822
