"Freq [GHz]","AbsorbanceTM []"
30,0.00646445726148703
30.01,0.00647403564948279
30.02,0.00648348279166877
30.03,0.00649280142155384
30.04,0.00650199424365316
30.05,0.0065110639335878
30.06,0.00652001313813788
30.07,0.00652884447530611
30.08,0.0065375605344149
30.09,0.00654616387616513
30.1,0.0065546570327466
30.11,0.00656304250786377
30.12,0.00657132277690331
30.13,0.00657950028690635
30.14,0.00658757745677452
30.15,0.00659555667727008
30.16,0.00660344031113835
30.17,0.006611230693221
30.18,0.00661893013050319
30.19,0.00662654090224502
30.2,0.00663406526006494
30.21,0.00664150542804987
30.22,0.00664886360283734
30.23,0.00665614195371134
30.24,0.0066633426227628
30.25,0.00667046772489721
30.26,0.00667751934804162
30.27,0.00668449955319439
30.28,0.00669141037453547
30.29,0.00669825381956923
30.3,0.00670503186919991
30.31,0.00671174647787742
30.32,0.00671839957369169
30.33,0.0067249930585016
30.34,0.00673152880805494
30.35,0.00673800867207763
30.36,0.00674443447444406
30.37,0.00675080801327133
30.38,0.00675713106103115
30.39,0.00676340536470332
30.4,0.00676963264588148
30.41,0.00677581460091592
30.42,0.00678195290102024
30.43,0.00678804919243681
30.44,0.00679410509651657
30.45,0.00680012220991677
30.46,0.00680610210466115
30.47,0.0068120463283371
30.48,0.00681795640419813
30.49,0.00682383383132579
30.5,0.00682968008471574
30.51,0.00683549661548544
30.52,0.00684128485096602
30.53,0.00684704619485799
30.54,0.00685278202737805
30.55,0.00685849370539438
30.56,0.00686418256258114
30.57,0.00686984990954298
30.58,0.00687549703397983
30.59,0.00688112520083028
30.6,0.00688673565242837
30.61,0.00689232960860942
30.62,0.00689790826692527
30.63,0.00690347280273629
30.64,0.00690902436940144
30.65,0.00691456409839653
30.66,0.00692009309950892
30.67,0.00692561246093981
30.68,0.00693112324950251
30.69,0.00693662651076044
30.7,0.00694212326917587
30.71,0.00694761452827486
30.72,0.0069531012707913
30.73,0.00695858445885444
30.74,0.0069640650341054
30.75,0.00696954391788529
30.76,0.00697502201138978
30.77,0.00698050019582741
30.78,0.00698597933255973
30.79,0.00699146026329467
30.8,0.00699694381023663
30.81,0.00700243077622553
30.82,0.00700792194493349
30.83,0.00701341808100087
30.84,0.00701891993022552
30.85,0.00702442821969174
30.86,0.00702994365795506
30.87,0.00703546693523394
30.88,0.00704099872348674
30.89,0.00704653967669977
30.9,0.00705209043093391
30.91,0.00705765160458183
30.92,0.00706322379846469
30.93,0.00706880759604323
30.94,0.00707440356357536
30.95,0.00708001225026567
30.96,0.00708563418844621
30.97,0.00709126989373676
30.98,0.00709691986521732
30.99,0.00710258458559965
31,0.00710826452137547
31.01,0.00711396012299614
31.02,0.00711967182506712
31.03,0.00712540004645945
31.04,0.00713114519051605
31.05,0.00713690764520092
31.06,0.00714268778329596
31.07,0.00714848596253403
31.08,0.00715430252577631
31.09,0.00716013780121894
31.1,0.00716599210248259
31.11,0.00717186572884998
31.12,0.00717775896539807
31.13,0.00718367208319204
31.14,0.00718960533941559
31.15,0.00719555897757018
31.16,0.0072015332276455
31.17,0.00720752830622606
31.18,0.00721354441675925
31.19,0.00721958174963444
31.2,0.00722564048239205
31.21,0.00723172077988554
31.22,0.00723782279441143
31.23,0.00724394666596284
31.24,0.00725009252227871
31.25,0.0072562604791121
31.26,0.00726245064032782
31.27,0.00726866309809659
31.28,0.00727489793307434
31.29,0.00728115521450601
31.3,0.00728743500046225
31.31,0.00729373733797578
31.32,0.00730006226316915
31.33,0.0073064098014719
31.34,0.0073127799677567
31.35,0.00731917276650362
31.36,0.00732558819194362
31.37,0.00733202622825857
31.38,0.00733848684972449
31.39,0.00734497002086343
31.4,0.00735147569660222
31.41,0.00735800382244067
31.42,0.00736455433461369
31.43,0.00737112716025534
31.44,0.00737772221752586
31.45,0.0073843394157973
31.46,0.00739097865580518
31.47,0.00739763982980113
31.48,0.00740432282172265
31.49,0.00741102750730727
31.5,0.00741775375429254
31.51,0.00742450142255857
31.52,0.00743127036426161
31.53,0.00743806042401651
31.54,0.00744487143902728
31.55,0.00745170323923006
31.56,0.00745855564748632
31.57,0.00746542847969389
31.58,0.00747232154493416
31.59,0.0074792346456648
31.6,0.00748616757781839
31.61,0.00749312013097259
31.62,0.00750009208849023
31.63,0.00750708322769966
31.64,0.00751409331996222
31.65,0.00752112213091505
31.66,0.00752816942052037
31.67,0.007535234943297
31.68,0.00754231844839193
31.69,0.00754941967974454
31.7,0.00755653837626291
31.71,0.00756367427190141
31.72,0.00757082709585366
31.73,0.00757799657266078
31.74,0.00758518242236228
31.75,0.00759238436062804
31.76,0.00759960209888855
31.77,0.00760683534450102
31.78,0.00761408380082107
31.79,0.00762134716740182
31.8,0.0076286251401062
31.81,0.00763591741120928
31.82,0.00764322366955628
31.83,0.00765054360071638
31.84,0.00765787688705122
31.85,0.00766522320789031
31.86,0.0076725822396666
31.87,0.00767995365596352
31.88,0.00768733712775738
31.89,0.00769473232345452
31.9,0.0077021389090457
31.91,0.00770955654823913
31.92,0.00771698490256312
31.93,0.00772442363149295
31.94,0.00773187239255368
31.95,0.00773933084150302
31.96,0.00774679863235761
31.97,0.00775427541759155
31.98,0.00776176084819946
31.99,0.00776925457382716
32,0.0077767562429174
32.01,0.00778426550276989
32.02,0.00779178199967956
32.03,0.00779930537904439
32.04,0.00780683528550374
32.05,0.00781437136300522
32.06,0.00782191325492043
32.07,0.00782946060417289
32.08,0.00783701305335027
32.09,0.00784457024476581
32.1,0.00785213182061106
32.11,0.00785969742302517
32.12,0.00786726669421622
32.13,0.00787483927655963
