"Freq [GHz]","AbsorbanceTE []","AbsorbanceTM []"
30,0.00279532320330966,0.00677707992347487
30.01,0.00279199431717247,0.00676137268250543
30.02,0.0027886712235341,0.00674571668641299
30.03,0.00278535398854074,0.00673011195498707
30.04,0.00278204267705218,0.0067145585041799
30.05,0.00277873735267531,0.00669905634617907
30.06,0.00277543807777714,0.00668360548946967
30.07,0.00277214491347577,0.00666820593884998
30.08,0.0027688579196542,0.00665285769551205
30.09,0.00276557715500048,0.00663756075711119
30.1,0.00276230267700284,0.00662231511780942
30.11,0.00275903454193149,0.00660712076829195
30.12,0.00275577280492811,0.00659197769590103
30.13,0.00275251751991068,0.00657688588458394
30.14,0.00274926873966563,0.00656184531502579
30.15,0.00274602651586453,0.00654685596470006
30.16,0.00274279089899465,0.00653191780784923
30.17,0.00273956193846447,0.00651703081561905
30.18,0.00273633968254738,0.00650219495604354
30.19,0.00273312417842886,0.00648741019413512
30.2,0.00272991547220636,0.0064726764919214
30.21,0.00272671360889787,0.00645799380848711
30.22,0.00272351863246922,0.00644336210004604
30.23,0.00272033058580523,0.00642878131993452
30.24,0.00271714951077895,0.00641425141873486
30.25,0.00271397544820018,0.00639977234424705
30.26,0.0027108084378854,0.00638534404160074
30.27,0.00270764851863592,0.0063709664532684
30.28,0.00270449572822351,0.00635663951908039
30.29,0.0027013501034735,0.00634236317634718
30.3,0.00269821168020079,0.00632813735982829
30.31,0.00269508049326617,0.00631396200182355
30.32,0.00269195657657051,0.0062998370321955
30.33,0.00268883996306535,0.00628576237842171
30.34,0.0026857306847794,0.00627173796564351
30.35,0.00268262877278425,0.00625776371666875
30.36,0.00267953425726153,0.00624383955207741
30.37,0.00267644716748527,0.00622996539022225
30.38,0.00267336753181568,0.0062161411472631
30.39,0.00267029537774877,0.00620236673724195
30.4,0.00266723073188591,0.00618864207208625
30.41,0.00266417361997462,0.00617496706167719
30.42,0.00266112406690278,0.00616134161387838
30.43,0.00265808209671403,0.00614776563457164
30.44,0.00265504773261438,0.00613423902769838
30.45,0.00265202099698458,0.00612076169529918
30.46,0.00264900191137085,0.00610733353754167
30.47,0.00264599049655034,0.00609395445279048
30.48,0.00264298677245423,0.0060806243375825
30.49,0.00263999075827248,0.00606734308674539
30.5,0.00263700247238241,0.00605411059335659
30.51,0.00263402193240536,0.00604092674882595
30.52,0.0026310491552034,0.00602779144292076
