"angle [deg]","Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
0,75,0.00251560964780484,0.0025266751151436
0,75.03,0.00253391232181432,0.00254542281969239
0,75.06,0.00255259194514745,0.00256456032955898
0,75.09,0.00257159271063478,0.00258403051518574
0,75.12,0.00259088561874377,0.0026038037059517
0,75.15,0.00261046098473894,0.00262387005323561
0,75.18,0.00263032295306764,0.00264423393048463
0,75.21,0.00265048550543723,0.00266490985149892
0,75.24,0.0026709695833198,0.00268591952329844
0,75.27,0.0026918010435153,0.00270728974853018
0,75.3,0.00271300923736029,0.00272905096500708
0,75.33,0.00273462605726493,0.00275123626359286
0,75.36,0.00275668533322493,0.0027738807650739
0,75.39,0.00277922249198215,0.00279702126707837
0,75.42,0.00280227441282355,0.00282069609371594
0,75.45,0.00282587943143664,0.00284494509834177
0,75.48,0.0028500774550142,0.00286980978179097
0,75.51,0.00287491016212227,0.00289533349897786
0,75.54,0.00290042126791101,0.00292156173395464
0,75.57,0.00292665684098281,0.00294854242937559
0,75.6,0.00295366566277788,0.00297632636100775
0,75.63,0.00298149962380989,0.00300496755145008
0,75.66,0.00301021415403979,0.00303452372032731
0,75.69,0.00303986868699291,0.00306505677055224
0,75.72,0.00307052715915912,0.00309663331233123
0,75.75,0.00310225854809232,0.00312932522849574
0,75.78,0.00313513745432115,0.0031632102865361
0,75.81,0.00316924473344748,0.0031983728040581
0,75.84,0.00320466818691933,0.00323490437658969
0,75.87,0.00324150332119066,0.00327290467797337
0,75.9,0.00327985418697907,0.00331248234572723
0,75.93,0.00331983431252336,0.00335375596604537
0,75.96,0.00336156774687124,0.00339685517542776
0,75.99,0.00340519023215502,0.00344192189900072
0,76.02,0.00345085052679861,0.00348911174886024
0,76.05,0.00349871190587414,0.00353859561023806
0,76.08,0.00354895386868059,0.0035905614475199
0,76.11,0.00360177408995321,0.00364521636886339
0,76.14,0.00365739065703041,0.00370278899454557
0,76.17,0.00371604464386299,0.00376353218333736
0,76.2,0.00377800308229437,0.00382772618147831
0,76.23,0.00384356240314754,0.00389568227181203
0,76.26,0.00391305243482054,0.0039677470169901
0,76.29,0.00398684106445446,0.00404430720936999
0,76.32,0.00406533969081335,0.00412579566615345
0,76.35,0.00414900962493892,0.00421269803745472
0,76.38,0.00423836963104196,0.00430556083430456
0,76.41,0.00433400484438939,0.00440500093154428
0,76.44,0.0044365773598094,0.00451171686222307
0,76.47,0.00454683885557272,0.0046265022973937
0,76.5,0.0046656457113452,0.00475026220718411
0,76.53,0.0047939771962231,0.00488403232693679
0,76.56,0.00493295745818401,0.00502900272151041
0,76.59,0.0050838822481607,0.00518654646140992
0,76.62,0.00524825157732267,0.00535825471489082
0,76.65,0.00542780985875402,0.00554597994687489
0,76.68,0.00562459555649042,0.00575188943389049
0,76.71,0.00584100300121482,0.00597853200502141
0,76.74,0.00607985989910875,0.00622892187594237
0,76.77,0.00634452525197526,0.00650664476159601
0,76.8,0.00663901406508993,0.00681599329243787
0,76.83,0.00696815754788083,0.00716214134938542
0,76.86,0.0073378108275638,0.00755137063053568
0,76.89,0.00775512497024433,0.00799136810548373
0,76.92,0.00822890708083657,0.00849162084674371
0,76.95,0.00877010259777844,0.00906394638479369
0,76.98,0.0093924494852764,0.00972321436639267
0,77.01,0.0101133779263762,0.0104883424481391
0,77.04,0.0109552664625727,0.0113836919751307
0,77.07,0.0119472250948977,0.0124410573175436
0,77.1,0.0131276730467489,0.013702554811033
0,77.13,0.0145481414368532,0.0152249058094055
0,77.16,0.0162790105155306,0.0170859345921051
0,77.19,0.0184183861696006,0.0193946840355717
0,77.22,0.0211062275913291,0.0223076272007183
0,77.25,0.0245475641511845,0.0260555166521956
0,77.28,0.0290520650698713,0.0309895476657726
0,77.31,0.0351043516718335,0.0376642009213048
0,77.34,0.0434950673869564,0.0469933909580827
0,77.37,0.0555790230965055,0.0605617749118047
0,77.4,0.0738163762277644,0.0812856940155086
0,77.43,0.102986764492238,0.114911977035676
0,77.46,0.153087597517511,0.173596014039457
0,77.49,0.246293392813973,0.28407654165264
0,77.52,0.428421003555518,0.495455927444316
0,77.55,0.721094438151945,0.778529050302096
0,77.58,0.805032167015638,0.746546707824353
0,77.61,0.522202271212562,0.455578678397866
0,77.64,0.293290150782368,0.259556880972927
0,77.67,0.174821984891221,0.158622693541245
0,77.7,0.113248424026062,0.104917134259555
0,77.73,0.0786575609516652,0.0740408069298594
0,77.76,0.0576901937231056,0.0549696882746459
0,77.79,0.0441540638072595,0.042473204411008
0,77.82,0.034960018968173,0.0338841746344725
0,77.85,0.0284533156192637,0.0277471600859701
0,77.88,0.0236910431580197,0.0232199588401472
0,77.91,0.0201070058898348,0.0197903323588122
0,77.94,0.0173458096413703,0.0171332810698076
0,77.97,0.015175810642767,0.015035032627167
0,78,0.0134410702086269,0.0133505503022416
10,75,0.0055883416432867,0.0023476786183384
10,75.03,0.00667224416966827,0.00238011355698187
10,75.06,0.00852114244912383,0.00240607038291674
10,75.09,0.0121496410988994,0.0024272551374549
10,75.12,0.0210990097820317,0.0024451767979794
10,75.15,0.0553006036641061,0.00246125038013956
10,75.18,0.33493322035764,0.00247694160723921
10,75.21,0.0861346529224621,0.0024940164442131
10,75.24,0.020615559986958,0.00251506160161785
10,75.27,0.00925313646121206,0.00254478282058146
10,75.3,0.00565520863473279,0.00259395653118921
10,75.33,0.00413780746011339,0.00269520890194752
10,75.36,0.00338516135914346,0.00300240674546126
10,75.39,0.00297178661625563,0.00574767799117604
10,75.42,0.00272889935548271,0.00762064784979288
