Frequency_GHz,Abs0deg,Abs10deg,Abs20deg,Abs30deg
75,0.00226961314028875,0.0120453731760238,0.00215510368071048,0.00333412886918208
75.006012024,0.00229031431537004,0.0123830017468242,0.00213425147620734,0.00339935110168481
75.0120240481,0.00227067977461883,0.0126532365040094,0.00217352416038322,0.00338020528742425
75.0180360721,0.00227423136807637,0.0124746154257651,0.00218394405384127,0.00342079282245329
75.0240480962,0.00225593173005056,0.0130503295174584,0.00216614064984846,0.00340357130426195
75.0300601202,0.00228287954943056,0.0131950564358805,0.00214644233030676,0.00341214266215962
75.0360721443,0.00231641883660232,0.0137931264104079,0.00214422618471881,0.00348304238038629
75.0420841683,0.00231038398134621,0.0136785877207346,0.00218057754378638,0.00348138635338232
75.0480961924,0.00231504137587743,0.0140135454505102,0.00219181950535605,0.00347720461541949
75.0541082164,0.00230584353957962,0.0149190022764639,0.00216399743549495,0.00351648358734712
75.0601202405,0.00230047986195636,0.0154837480612961,0.00213862545223564,0.00354945956653352
75.0661322645,0.0023010483028733,0.0150221668837476,0.00213056404165826,0.0034951172829248
75.0721442886,0.00233718945778804,0.015404201378079,0.00213693876360059,0.0034992270238358
75.0781563126,0.00235311836763809,0.0161597947274201,0.00215282923067569,0.00355334573641359
75.0841683367,0.00233260989892424,0.0164803993603256,0.00221261984529898,0.00366572108436524
75.0901803607,0.00231563731280667,0.016234071010569,0.00213846795921473,0.00349859377130315
75.0961923848,0.00233133213481873,0.0166389163595105,0.00216090472149503,0.0035785780045654
75.1022044088,0.0023613431307975,0.0177256963219239,0.00216601794268486,0.003618718467764
75.1082164329,0.00237290715263612,0.0191213847726921,0.00217703424636487,0.00365692736571078
75.1142284569,0.00238314027275843,0.0189630381764581,0.0021740505252538,0.00365953880274154
75.120240481,0.00234850749788032,0.0182585272684553,0.00217860078600279,0.00368111165282452
75.126252505,0.00235556835692403,0.0192086303724635,0.00217908027011811,0.00368071901576881
75.1322645291,0.00236487020178795,0.0204175813636966,0.00218810750901387,0.00378009790066648
75.1382765531,0.00238775834376464,0.0207429879158642,0.0021962264442563,0.00371922890682972
75.1442885772,0.00239988735064129,0.0211063999233633,0.00219076318971363,0.00370728972229388
75.1503006012,0.00239298038005663,0.0214766767225232,0.00219068694981036,0.00372407428725876
75.1563126253,0.0023797370740192,0.0215280972739764,0.00217709476287306,0.00373181475147922
75.1623246493,0.00240406794233128,0.0229651723836193,0.00217444716781869,0.00381885722371776
75.1683366733,0.00242233646797663,0.0247415437154854,0.00217484997361629,0.00384758698710412
75.1743486974,0.00242462596993983,0.024489447382514,0.00218256389699236,0.00381454872842886
75.1803607214,0.00241337043452551,0.0251090313657603,0.00219216290207811,0.00393510412912449
75.1863727455,0.00243379927903508,0.0253968104418284,0.00219299872829622,0.0038277041912291
75.1923847695,0.00247070795438292,0.0281501823406016,0.00218988538262787,0.00396056564436476
75.1983967936,0.00245642591237428,0.027599795333347,0.00221535652710743,0.00394192120751289
75.2044088176,0.00244220560319996,0.0284942680502547,0.00218261843655915,0.00400599836861619
75.2104208417,0.00245818614309082,0.0301185233902156,0.00216512338689166,0.00393073406816559
75.2164328657,0.00248581818777456,0.0312524909403505,0.00218886170174806,0.00397823504669541
75.2224448898,0.00247291031705374,0.0323669167959634,0.00222224261282865,0.00406825830764871
75.2284569138,0.0024645429506576,0.033106252216942,0.00219997946274586,0.0040369755560827
75.2344689379,0.00245900845180107,0.0359096757106879,0.00220277489878155,0.00411228239972201
75.2404809619,0.00250133342023247,0.0351169589794071,0.00221218163790979,0.0041404894682953
75.246492986,0.00248372822033353,0.035913366273982,0.00217249179133662,0.00407563400185502
75.25250501,0.0025132782734241,0.0378330933343642,0.00217711380962347,0.00421654510142397
75.2585170341,0.00249235955608076,0.0391062564338643,0.00220711329916537,0.00420027113984836
75.2645290581,0.0025032034753131,0.0410935357824237,0.00225253951658779,0.00426991648883744
75.2705410822,0.00249676314624431,0.0430448866550451,0.0022092687551196,0.00429913675811667
75.2765531062,0.00252309433713816,0.0441762484427923,0.0022147617387995,0.00423014371549486
