"angle [deg]","Freq [GHz]","AbsorbanceTE []","AbsorbanceTM []"
0,75,0.0214325355060082,0.0198195000549732
0,75.03,0.0228423511852067,0.0210627136872328
0,75.06,0.0244310525776896,0.0224586196720016
0,75.09,0.0262317391715692,0.0240345715727975
0,75.12,0.0282856773451771,0.0258244872516409
0,75.15,0.0306448225139193,0.0278708171251055
0,75.18,0.0333752933834949,0.0302272349173442
0,75.21,0.0365622268260728,0.032962367555508
0,75.24,0.0403166676493408,0.0361650437142741
0,75.27,0.0447855101115491,0.0399518001863217
0,75.3,0.0501661010591183,0.0444778072331004
0,75.33,0.0567281019848895,0.0499530733331357
0,75.36,0.0648468786589173,0.0566669712946097
0,75.39,0.0750555519270432,0.0650261609271224
0,75.42,0.0881277734624917,0.0756145338258867
0,75.45,0.105211638882338,0.0892900423537328
0,75.48,0.12804836468175,0.107344070914355
0,75.51,0.159325691726559,0.131766451965683
0,75.54,0.203213758789247,0.165680828977677
0,75.57,0.26599560017771,0.21400774249081
0,75.6,0.35595340090403,0.284194495048367
0,75.63,0.478811598846401,0.385648390321992
0,75.66,0.619246042866312,0.522140071381847
0,75.69,0.711398539006101,0.665198544341256
0,75.72,0.676694690272733,0.727581927207053
0,75.75,0.540408554551101,0.645827517646204
0,75.78,0.392877274470467,0.488306892281112
0,75.81,0.279195678342116,0.345516233568665
0,75.84,0.200976995379832,0.243537955608664
0,75.87,0.148344829771788,0.175436691330923
0,75.9,0.112493252513842,0.130038685726681
0,75.93,0.0874907467203102,0.099135555102923
0,75.96,0.069600000787752,0.0775230900235311
0,75.99,0.0564801123557654,0.0619949386660356
0,76.02,0.0466422589970487,0.0505579225985119
0,76.05,0.0391180029561603,0.0419457432428824
0,76.08,0.0332619817833214,0.0353331545720479
0,76.11,0.0286338525315188,0.0301684414478092
0,76.14,0.0249264301135557,0.0260737381684382
0,76.17,0.0219210021728076,0.0227844118706738
0,76.2,0.0194589167884041,0.0201113204740422
0,76.23,0.0174231180856921,0.0179167551266586
0,76.26,0.0157258948115294,0.0160987576302712
0,76.29,0.0143005915020066,0.0145806800467277
0,76.32,0.0130958981366938,0.0133040970777997
0,76.35,0.0120718496257742,0.0122239068215182
0,76.38,0.0111969793330332,0.0113048872854777
0,76.41,0.0104462644476772,0.0105192385714843
0,76.44,0.00979962308945015,0.0098448034928974
0,76.47,0.0092408013704216,0.00926376232666282
0,76.5,0.00875653976290658,0.0087616636509924
0,76.53,0.00833594201355758,0.00832669657130747
0,76.56,0.00796999264834042,0.00794913845965883
0,76.59,0.00765118467085413,0.00762093177841028
0,76.62,0.00737322980975774,0.00733535686092546
0,76.65,0.00713083119574631,0.00708677674061775
0,76.68,0.00691950367512195,0.00687043658665576
0,76.71,0.00673543077833061,0.00668230489316057
0,76.74,0.00657535011754695,0.00651894686006982
0,76.77,0.00643646099844541,0.00637742278815523
0,76.8,0.00631634951311388,0.00625520605519547
0,76.83,0.00621292748182756,0.00615011652776176
0,76.86,0.0061243824369599,0.00606026622248956
0,76.89,0.0060491364631573,0.00598401474841515
0,76.92,0.00598581218347405,0.00591993260810242
0,76.95,0.00593320454207158,0.00586677084809883
0,76.98,0.00589025731444393,0.00582343586801393
0,77.01,0.00585604349358082,0.00578896844357701
0,77.04,0.00582974886745935,0.00576252620750795
0,77.07,0.00581065823976323,0.00574336898475247
0,77.1,0.00579814384676225,0.0057308464919823
0,77.13,0.0057916556093901,0.00572438800678221
0,77.16,0.00579071292450051,0.00572349368411906
0,77.19,0.00579489775269382,0.00572772725668058
0,77.22,0.00580384880318086,0.00573670990307407
0,77.25,0.0058172566505833,0.00575011510569168
0,77.28,0.00583485964663688,0.00576766435077247
0,77.31,0.00585644051253431,0.0057891235480162
0,77.34,0.00588182351691668,0.00581430006806027
0,77.37,0.00591087215939723,0.00584304031227323
0,77.4,0.00594348729218974,0.00587522774308236
0,77.43,0.00597960562336419,0.0059107813148096
0,77.46,0.00601919855364952,0.00594965425407201
0,77.49,0.00606227130557735,0.00599183314621032
0,77.52,0.00610886231075503,0.00603733729163125
0,77.55,0.00615904282526725,0.00608621830053557
0,77.58,0.00621291674768831,0.0061385598992495
0,77.61,0.00627062061781047,0.00619447792525651
0,77.64,0.00633232377719928,0.00625412049121665
0,77.67,0.00639822867546314,0.00631766830118785
0,77.7,0.0064685713071102,0.00638533510341288
0,77.73,0.00654362176728995,0.00645736826753351
0,77.76,0.0066236849155098,0.00653404947498371
0,77.79,0.00670910113648482,0.00661569551149677
0,77.82,0.00680024719076333,0.00670265915415058
0,77.85,0.00689753714676211,0.00679533014446509
0,77.88,0.00700142338660537,0.00689413623985802
0,77.91,0.00711239768066874,0.00699954433830419
0,77.94,0.007230992323218,0.00711206166857137
0,77.97,0.00735778132480658,0.00723223704171094
0,78,0.00749338165545754,0.00736066215786491
10,75,0.00344346663162465,0.00322995297437201
10,75.03,0.00346533699252527,0.00325939901361605
10,75.06,0.00348726116102316,0.00328864143639485
10,75.09,0.00350925256330359,0.00331771222977606
10,75.12,0.00353132460253891,0.00334664250221972
10,75.15,0.00355349074964628,0.0033754626106729
10,75.18,0.00357576464000187,0.00340420229833815
10,75.21,0.00359816017785064,0.00343289084179133
10,75.24,0.00362069165158241,0.00346155720817554
10,75.27,0.00364337386244218,0.00349023022303296
10,75.3,0.00366622227095181,0.0035189387511888
10,75.33,0.00368925316564517,0.00354771189340553
10,75.36,0.0037124838607846,0.00357657920335908
10,75.39,0.00373593293057839,0.00360557092988567
10,75.42,0.00375962049090728,0.00363471829217976
