"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
75,0.0089511628028196,0.00893774563842187
75.03,0.00883375097802919,0.00880680311529225
75.06,0.00873627353291551,0.0087022363165804
75.09,0.00865698342346555,0.00862073103411898
75.12,0.00859429370911657,0.00855933722027824
75.15,0.00854676465803994,0.00851543303133506
75.18,0.00851309207123807,0.00848669264408208
75.21,0.00849209673381968,0.0084710574520338
75.24,0.00848271490909824,0.00846671028647772
75.27,0.00848398980126941,0.00847205234583059
75.3,0.00849506392048749,0.00848568254984083
75.33,0.00851517229227605,0.00850637906553742
75.36,0.00854363646067657,0.00853308277922216
75.39,0.00857985924151972,0.00856488251422016
75.42,0.00862332018466649,0.00860100181459766
75.45,0.00867357170630734,0.00864078713688476
75.48,0.00873023584430055,0.00868369730802132
75.51,0.00879300157176366,0.00872929412483958
75.54,0.00886162256183032,0.00877723398336749
75.57,0.00893591521682691,0.00882726044064075
75.6,0.00901575661859588,0.00887919762104006
75.63,0.00910108177001034,0.00893294439106695
75.66,0.00919187896045304,0.00898846923406005
75.69,0.00928818109220131,0.00904580576478931
75.72,0.0093900489440869,0.00910504883053609
75.75,0.00949753885885507,0.0091663511504545
75.78,0.0096106407861023,0.00922992045041915
75.81,0.00972916037510485,0.00929601705298655
75.84,0.00985249652367592,0.00936495188435471
75.87,0.00997922779689975,0.0094370848608557
75.9,0.010106367256718,0.00951282361469541
75.93,0.0102281129831248,0.00959262251522841
75.96,0.0103340962234237,0.0096769819338125
75.99,0.010408086067591,0.00976644768816914
76.02,0.0104307410205684,0.00986161058561907
76.05,0.0103925454207255,0.00996310595984107
76.08,0.0103142867477812,0.010071613064136
76.11,0.0102479405566953,0.0101878541411875
76.14,0.0102412127615326,0.0103125929372936
76.17,0.0103074329920684,0.0104466323614508
76.2,0.0104331239498244,0.0105908109151813
76.23,0.0105987046043443,0.0107459974348307
76.26,0.0107891931124944,0.0109130836096027
76.29,0.0109956394205483,0.0110929736829759
76.32,0.0112134731759594,0.0112865707479968
76.35,0.0114407656244538,0.0114947591616245
76.38,0.011677066699199,0.0117183829081851
76.41,0.0119227344097532,0.0119582203403139
76.44,0.0121785730723869,0.012214956729408
76.47,0.012445645917125,0.0124891575549647
76.5,0.0127251822618549,0.012781247452148
76.53,0.0130185353827569,0.0130915020056851
76.56,0.0133271677083427,0.0134200615938463
76.59,0.0136526510596029,0.0137669773062439
76.62,0.0139966755569811,0.0141322973277971
76.65,0.0143610639492532,0.0145161969583791
76.68,0.0147477898006292,0.0149191463597544
76.71,0.0151589988902481,0.0153420986739419
76.74,0.0155970336967672,0.0157866709106242
76.77,0.0160644611489449,0.0162552856812846
76.8,0.0165641040242418,0.0167512470770684
76.83,0.0170990765248168,0.0172787387129821
76.86,0.0176728246820016,0.0178427516292422
76.89,0.0182891723556162,0.0184489671462409
76.92,0.0189523737064806,0.0191036287687473
76.95,0.0196671731343245,0.019813435798178
76.98,0.0204388737850799,0.0205854819083744
77.01,0.0212734158334056,0.0214272494576678
77.04,0.0221774658239875,0.0223466592900269
77.07,0.0231585183807527,0.0233521687017866
77.1,0.0242250115309649,0.0244529073826684
77.13,0.0253864566722589,0.0256588413253208
77.16,0.0266535837382244,0.0269809563448091
77.19,0.0280385012460052,0.0284314545567199
77.22,0.0295548694009237,0.0300239579057415
77.25,0.0312180819577571,0.0317737119226853
77.28,0.0330454485839576,0.0336977797143406
77.31,0.0350563633058095,0.0358152100583081
77.34,0.0372724351827196,0.0381471533728432
77.37,0.0397175431752659,0.0407168838005534
77.4,0.0424177562538258,0.0435496626553608
77.43,0.0454010296145766,0.0466723454665825
77.46,0.0486965455523761,0.0501125889815873
77.49,0.0523335105343812,0.053897453571199
77.52,0.0563391477778546,0.0580511210998058
77.55,0.0607355421792389,0.0625913661859785
77.58,0.0655349190644033,0.0675243527129019
77.61,0.0707329105834793,0.0728373280581872
77.64,0.0762994629012688,0.0784889493451797
77.67,0.0821673951390153,0.0843974484770479
77.7,0.0882194148431208,0.0904278111760572
77.73,0.0942757825422755,0.0963807344036077
77.76,0.100086757457117,0.101988169806985
77.79,0.105335890723878,0.106921951165514
77.82,0.109660795799843,0.110821679350521
77.85,0.112695246076505,0.11334370193367
77.88,0.114129068625169,0.114224132253846
77.91,0.113772033751341,0.113338612117227
77.94,0.111600555506833,0.110736860640364
77.97,0.107768326814388,0.106636817996961
78,0.102575422418274,0.10137959613867
