"Freq [GHz]","AbsorbanceTM []"
30,0.000365049774333492
30.01,0.000376381749924604
30.02,0.00038756357047709
30.03,0.000398596275449914
30.04,0.000409480901934489
30.05,0.000420218484678325
30.06,0.000430810056049613
30.07,0.00044125664597805
30.08,0.000451559281980485
30.09,0.000461718989130278
30.1,0.000471736790027322
30.11,0.000481613704784389
30.12,0.000491350751003927
30.13,0.00050094894373609
30.14,0.000510409295526482
30.15,0.000519732816322671
30.16,0.00052892051347464
30.17,0.000537973391761648
30.18,0.000546892453293424
30.19,0.000555678697570117
30.2,0.000564333121414573
30.21,0.000572856718949466
30.22,0.000581250481624163
30.23,0.000589515398155105
30.24,0.000597652454526365
30.25,0.00060566263394668
30.26,0.000613546916884422
30.27,0.000621306280987444
30.28,0.000628941701121155
30.29,0.000636454149287813
30.3,0.000643844594686915
30.31,0.000651114003627384
30.32,0.000658263339562204
30.33,0.000665293563034242
30.34,0.000672205631694789
30.35,0.000679000500257376
30.36,0.000685679120466132
30.37,0.00069224244117172
30.38,0.000698691408174912
30.39,0.000705026964344713
30.4,0.000711250049510337
30.41,0.000717361600502064
30.42,0.00072336255108385
30.43,0.000729253832001953
30.44,0.0007350363709131
30.45,0.000740711092388824
30.46,0.00074627891794099
30.47,0.000751740765922992
30.48,0.000757097551596475
30.49,0.000762350187077598
30.5,0.000767499581320052
30.51,0.000772546640130267
30.52,0.000777492266107349
30.53,0.00078233735869282
30.54,0.000787082814081352
30.55,0.000791729525290275
30.56,0.000796278382068305
30.57,0.000800730270947181
30.58,0.000805086075183703
30.59,0.000809346674778277
30.6,0.000813512946443495
30.61,0.000817585763579931
30.62,0.000821565996319884
30.63,0.000825454511456103
30.64,0.000829252172435124
30.65,0.000832959839410341
30.66,0.000836578369135532
30.67,0.000840108615025703
30.68,0.000843551427137768
30.69,0.000846907652089723
30.7,0.000850178133181667
30.71,0.000853363710246469
30.72,0.000856465219729596
30.73,0.000859483494647151
30.74,0.000862419364585532
30.75,0.000865273655676901
30.76,0.000868047190602517
30.77,0.000870740788574964
30.78,0.000873355265360809
30.79,0.00087589143322242
30.8,0.000878350100923075
30.81,0.000880732073750168
30.82,0.000883038153473681
30.83,0.00088526913834519
30.84,0.000887425823090648
30.85,0.000889508998919708
30.86,0.000891519453491751
30.87,0.000893457970919775
30.88,0.000895325331762731
30.89,0.00089712231300032
30.9,0.000898849688091952
30.91,0.000900508226858832
30.92,0.000902098695591436
30.93,0.000903621856966907
30.94,0.000905078470058163
30.95,0.000906469290364309
30.96,0.000907795069740813
30.97,0.000909056556459897
30.98,0.000910254495154694
30.99,0.000911389626848003
31,0.000912462688918869
31.01,0.000913474415108029
31.02,0.000914425535525898
31.03,0.000915316776626929
31.04,0.000916148861218158
31.05,0.0009169225084531
31.06,0.000917638433819867
31.07,0.000918297349131736
31.08,0.000918899962578767
31.09,0.00091944697861257
31.1,0.000919939098043221
31.11,0.000920377018000629
31.12,0.00092076143192743
31.13,0.000921093029575881
31.14,0.000921372497005302
31.15,0.000921600516581522
31.16,0.000921777766979326
31.17,0.000921904923171679
31.18,0.000921982656423848
31.19,0.000922011634312048
31.2,0.000921992520684811
31.21,0.000921925975696736
31.22,0.000921812655768406
31.23,0.000921653213649121
31.24,0.000921448298334182
31.25,0.000921198555136615
31.26,0.000920904625604124
31.27,0.000920567147624785
31.28,0.000920186755317243
31.29,0.000919764079116092
31.3,0.000919299745709035
31.31,0.000918794378082399
31.32,0.000918248595472737
31.33,0.000917663013433656
31.34,0.000917038243755663
31.35,0.000916374894537886
31.36,0.000915673570130671
31.37,0.000914934871185769
31.38,0.000914159394622249
31.39,0.000913347733629499
31.4,0.00091250047768765
31.41,0.000911618212568355
31.42,0.000910701520299484
31.43,0.000909750979201429
31.44,0.000908767163888324
31.45,0.000907750645240957
31.46,0.000906701990444958
31.47,0.000905621762976372
31.48,0.000904510522583224
31.49,0.000903368825314277
31.5,0.000902197223527024
31.51,0.000900996265853715
31.52,0.000899766497231558
31.53,0.00089850845892403
31.54,0.000897222688457933
31.55,0.000895909719696442
31.56,0.000894570082811463
31.57,0.000893204304284856
31.58,0.000891812906918421
31.59,0.000890396409810146
31.6,0.000888955328429475
31.61,0.000887490174532712
31.62,0.000886001456211094
31.63,0.0008844896779161
31.64,0.000882955340419489
31.65,0.000881398940837053
31.66,0.000879820972638723
31.67,0.000878221925640132
31.68,0.000876602286021932
31.69,0.000874962536299928
31.7,0.00087330315541434
31.71,0.000871624618604905
31.72,0.000869927397542658
31.73,0.000868211960243004
31.74,0.000866478771133439
31.75,0.000864728291031569
31.76,0.000862960977130567
31.77,0.000861177283038361
31.78,0.000859377658790073
31.79,0.000857562550811708
31.8,0.000855732401957132
31.81,0.000853887651504404
31.82,0.000852028735177424
31.83,0.00085015608513328
31.84,0.000848270129958917
31.85,0.000846371294725312
31.86,0.000844460000937741
31.87,0.000842536666567417
31.88,0.000840601706079358
31.89,0.000838655530401966
31.9,0.000836698546952563
31.91,0.000834731159645385
31.92,0.000832753768896577
31.93,0.000830766771647506
31.94,0.000828770561318914
31.95,0.000826765527886186
31.96,0.000824752057849154
31.97,0.000822730534239979
31.98,0.000820701336665897
31.99,0.000818664841253813
32,0.000816621420721364
32.01,0.000814571444353818
32.02,0.000812515278007409
32.03,0.000810453284137203
32.04,0.000808385821793878
32.05,0.000806313246643264
32.06,0.000804235910955575
32.07,0.000802154163627833
32.08,0.000800068350201411
32.09,0.00079797881283894
32.1,0.000795885890389147
32.11,0.000793789918319465
32.12,0.000791691228815505
32.13,0.000789590150693908
